\N	Albertville, AL	albertville-alabama	33924
\N	Alden, AL	alden-alabama	2382
\N	Alex City, AL	alex city-alabama	20816
\N	Alexander City, AL	alexander city-alabama	20816
\N	Alexandria, AL	alexandria-alabama	4603
\N	Aliceville, AL	aliceville-alabama	4972
\N	Allen, AL	allen-alabama	4977
\N	Allgood, AL	allgood-alabama	124
\N	Almond, AL	almond-alabama	2592
\N	Alpine, AL	alpine-alabama	4546
\N	Alton, AL	alton-alabama	0
\N	Altoona, AL	altoona-alabama	7727
\N	Andalusia, AL	andalusia-alabama	19914
\N	Anderson, AL	anderson-alabama	2252
\N	Annemanie, AL	annemanie-alabama	0
\N	Anniston, AL	anniston-alabama	70818
\N	Aquilla, AL	aquilla-alabama	3854
\N	Arab, AL	arab-alabama	16778
\N	Ardmore, AL	ardmore-alabama	5146
\N	Ariton, AL	ariton-alabama	2770
\N	Arkadelphia, AL	arkadelphia-alabama	3403
\N	Arley, AL	arley-alabama	6012
\N	Arlington, AL	arlington-alabama	472
\N	Armstrong, AL	armstrong-alabama	8760
\N	Ashford, AL	ashford-alabama	6187
\N	Ashland, AL	ashland-alabama	5103
\N	Ashville, AL	ashville-alabama	7319
\N	Athens, AL	athens-alabama	53253
\N	Atmore, AL	atmore-alabama	18355
\N	Attalla, AL	attalla-alabama	12416
\N	Atwood, AL	atwood-alabama	895
\N	Auburn, AL	auburn-alabama	55272
\N	Auburn University, AL	auburn university-alabama	3150
\N	Autaugaville, AL	autaugaville-alabama	1975
\N	Avon, AL	avon-alabama	6187
\N	Axis, AL	axis-alabama	1481
\N	Babbie, AL	babbie-alabama	10673
\N	Baileyton, AL	baileyton-alabama	2117
\N	Bakerhill, AL	bakerhill-alabama	16261
\N	Banks, AL	banks-alabama	1522
\N	Bankston, AL	bankston-alabama	1021
\N	Barfield, AL	barfield-alabama	5582
\N	Barlow, AL	barlow-alabama	3854
\N	Barney, AL	barney-alabama	5605
\N	Bassetts Creek, AL	bassetts creek-alabama	972
\N	Battens Crossroads, AL	battens crossroads-alabama	1722
